,MAE,MSE,RMSE,R²
redes_neurais,3.52,19.2,4.38,-0.05
cat_boost,3.77,23.11,4.81,-0.2
gradiente_boosting,3.83,24.94,4.99,-0.29
regressao_linear,3.84,19.1,4.37,0.01
xg_boost,3.95,24.91,4.99,-0.29
