data,predicao,intervalo_lower,intervalo_upper
2024-05-01,8.12617,2.2081633758544923,14.044176940917968
2024-05-01,8.414762,2.4967547607421876,14.332768325805663
2024-05-01,10.126545,4.20853816986084,16.044551734924315
2024-05-01,9.022904,3.1048976135253907,14.940911178588866
2024-05-01,8.52308,2.6050730895996095,14.441086654663085
2024-05-01,6.769469,0.8514620018005372,12.687475566864013
2024-05-01,6.150618,0.23261129379272472,12.0686248588562
2024-05-01,6.5103493,0.5923424911499025,12.428356056213378
2024-05-01,9.507922,3.5899153900146485,15.425928955078124
2024-05-01,12.132561,6.214553947448731,18.050567512512206
2024-05-01,12.802227,6.884220237731934,18.72023380279541
2024-05-01,12.59967,6.681663627624512,18.517677192687987
2024-05-01,12.22452,6.30651294708252,18.142526512145995
2024-05-01,13.124856,7.2068492126464845,19.04286277770996
2024-05-01,14.144114,8.226106758117677,20.06212032318115
2024-05-01,12.785459,6.867451782226563,18.703465347290038
2024-05-01,13.452144,7.53413688659668,19.370150451660155
2024-05-01,12.751195,6.833188171386719,18.669201736450194
2024-05-01,12.106768,6.188760871887207,18.024774436950683
2024-05-01,14.061794,8.143787498474122,19.979801063537597
2024-05-01,15.682914,9.764906997680665,21.60092056274414
2024-05-01,14.9693985,9.051391716003419,20.887405281066894
2024-05-01,15.8967705,9.978763694763185,21.81477725982666
2024-05-01,14.359994,8.44198715209961,20.278000717163085
2024-05-01,14.136738,8.21873104095459,20.054744606018065
2024-05-01,12.006294,6.088287467956543,17.92430103302002
2024-05-01,14.175519,8.257512207031251,20.093525772094726
2024-05-01,9.835036,3.917029495239258,15.753043060302733
2024-05-01,10.533837,4.615830535888672,16.451844100952147
2024-05-01,8.965087,3.0470801544189454,14.88309371948242
2024-05-01,12.729854,6.81184684753418,18.647860412597655
2024-05-01,13.862056,7.94404899597168,19.780062561035155
2024-05-01,15.513175,9.595168228149415,21.43118179321289
2024-05-01,12.552391,6.634384269714356,18.47039783477783
2024-05-01,13.495545,7.577538604736328,19.413552169799804
2024-05-01,11.743545,5.825537796020508,17.661551361083983
2024-05-01,9.363572,3.4455653381347657,15.281578903198241
2024-05-01,10.092611,4.174604530334473,16.01061809539795
2024-05-01,11.258282,5.340274925231934,17.17628849029541
2024-05-01,7.963066,2.0450593185424806,13.881072883605956
2024-05-01,7.6083155,1.6903086853027345,13.52632225036621
2024-05-01,6.083786,0.16577922821044933,12.001792793273925
2024-05-01,9.364086,3.4460793685913087,15.282092933654784
