,loss,learning_rate,max_features,n_estimators,max_depth,min_samples_leaf,criterio,mean_square_error
3,quantile,0.5584446684405618,1,214,28,86,friedman_mse,1.0256093260372137
22,quantile,0.5812834518307763,1,190,17,96,friedman_mse,1.029076830898076
82,quantile,0.713936869678508,1,250,3,92,squared_error,1.0335683292020128
39,quantile,1.6901501307219182,1,21,22,85,squared_error,1.0355188957250838
71,quantile,1.6230736823984997,1,379,30,99,squared_error,1.0393289128530223
83,quantile,1.3675870783812782,1,22,12,10,squared_error,1.0395365481374161
92,quantile,1.6701728304870567,1,57,30,37,squared_error,1.0584442491394581
38,absolute_error,0.7876869557198992,1,299,23,2,friedman_mse,1.1010583943031282
52,squared_error,1.8285463071700692,1,147,3,22,friedman_mse,1.1277722018422511
81,huber,1.852743450108047,1,287,36,24,squared_error,1.1863684274480528
91,squared_error,1.68921981756065,1,312,9,11,friedman_mse,1.1907742664108123
25,quantile,1.7047754444706344,1,220,33,5,squared_error,1.2585331757189813
7,squared_error,1.851747532444996,1,449,3,17,friedman_mse,1.3337007232504392
21,squared_error,1.8640663282496872,1,326,28,19,squared_error,1.4188945630075496
28,squared_error,1.8904509284519542,1,172,17,3,squared_error,2.158053060780772
63,squared_error,1.9519159326958067,1,454,30,5,friedman_mse,2.8484851452433895
