,criterion,max_features,n_estimators,max_depth,min_samples_leaf,mean_square_error
163,squared_error,2,24,32,23,0.7277713960147315
192,squared_error,5,86,9,22,0.7281340383541167
155,absolute_error,2,50,5,22,0.7281854169190054
96,absolute_error,2,41,26,21,0.7283923877090682
89,friedman_mse,3,76,18,20,0.7284645167631185
123,squared_error,2,75,33,18,0.7297408338978256
72,friedman_mse,1,32,10,20,0.7298775104089061
86,squared_error,1,64,30,11,0.7310637145284525
194,squared_error,1,12,36,16,0.7312666370227363
108,absolute_error,5,67,5,24,0.7315821227345203
113,absolute_error,4,84,26,13,0.7318894464846604
118,absolute_error,3,21,1,13,0.7319108951461868
130,absolute_error,5,37,11,17,0.7329451931401721
59,absolute_error,2,36,26,19,0.7333752502890002
63,absolute_error,5,99,2,10,0.7344121930681
12,squared_error,5,70,1,10,0.7368281701945794
187,squared_error,3,46,39,8,0.7372110672297267
77,friedman_mse,2,16,16,13,0.7376061152847706
139,squared_error,4,26,29,15,0.7380061900051056
117,squared_error,3,85,28,9,0.7392170815714557
138,squared_error,5,61,22,10,0.7433633602960567
8,absolute_error,5,45,31,8,0.7443213869270359
122,squared_error,1,18,7,5,0.7460261609724894
9,squared_error,4,41,26,10,0.7471882008519736
62,squared_error,5,47,21,9,0.7482446924728393
44,squared_error,4,75,25,7,0.7489266715906316
186,absolute_error,3,68,39,5,0.7506080954517772
71,squared_error,3,51,9,5,0.7533808790406364
150,friedman_mse,4,33,12,6,0.7537218618864401
74,absolute_error,2,67,37,3,0.755627510981759
125,friedman_mse,3,13,35,7,0.7673657237062594
107,absolute_error,4,5,26,2,0.7685788399994646
39,friedman_mse,5,93,21,3,0.7699364883028789
10,friedman_mse,5,5,17,10,0.7725775367866602
167,absolute_error,4,66,16,1,0.7763127123816487
188,squared_error,4,49,12,2,0.7853065940710998
