,alpha,fit_inter,mean_square_error
499,2.0,True,0.7440868210985441
498,1.9960120240480963,False,0.7440868213775651
497,1.9920240480961926,True,0.7440868216565859
496,1.9880360721442887,True,0.7440868219356068
495,1.984048096192385,False,0.744086822214628
494,1.980060120240481,True,0.7440868224936488
493,1.9760721442885774,False,0.74408682277267
492,1.9720841683366734,True,0.7440868230516909
491,1.9680961923847697,False,0.7440868233307121
490,1.9641082164328658,False,0.7440868236097331
489,1.9601202404809621,True,0.7440868238887541
488,1.9561322645290582,True,0.7440868241677754
487,1.9521442885771545,True,0.7440868244467963
486,1.9481563126252506,True,0.7440868247258174
485,1.9441683366733469,False,0.7440868250327459
484,1.940180360721443,True,0.7440868253117671
483,1.9361923847695393,False,0.7440868255953318
482,1.9322044088176353,False,0.7440868258743529
481,1.9282164328657316,False,0.7440868261533742
480,1.9242284569138277,True,0.7440868264323954
479,1.920240480961924,True,0.7440868267114167
478,1.91625250501002,True,0.7440868269904378
477,1.9122645290581164,True,0.7440868272694592
476,1.9082765531062125,False,0.7440868275484804
475,1.9042885771543088,True,0.7440868278275017
474,1.9003006012024048,True,0.744086828106523
473,1.8963126252505011,False,0.7440868283855444
472,1.8923246492985972,False,0.7440868286645659
471,1.8883366733466935,False,0.7440868289435872
470,1.8843486973947896,False,0.7440868292226086
469,1.880360721442886,False,0.7440868295016301
468,1.8763727454909822,False,0.7440868297806513
467,1.8723847695390783,True,0.7440868300596728
466,1.8683967935871746,False,0.7440868303386944
465,1.8644088176352707,False,0.7440868306177159
464,1.860420841683367,False,0.7440868308967372
463,1.856432865731463,True,0.7440868311757588
462,1.8524448897795593,True,0.7440868314547803
461,1.8484569138276554,True,0.7440868317338019
460,1.8444689378757517,False,0.7440868320128234
459,1.8404809619238478,True,0.744086832291845
458,1.836492985971944,False,0.7440868325708666
457,1.8325050100200402,False,0.7440868328498881
456,1.8285170340681365,False,0.7440868331289098
455,1.8245290581162326,True,0.7440868334079315
454,1.8205410821643289,False,0.744086833686953
453,1.816553106212425,True,0.7440868339659747
452,1.8125651302605212,True,0.7440868342449963
451,1.8085771543086173,False,0.7440868345240181
450,1.8045891783567136,False,0.7440868348030399
449,1.8006012024048097,True,0.7440868350820615
448,1.796613226452906,False,0.7440868353610833
447,1.792625250501002,True,0.7440868356401051
446,1.7886372745490984,False,0.7440868359191268
445,1.7846492985971945,False,0.7440868361981487
444,1.7806613226452908,True,0.7440868364771704
443,1.7766733466933868,True,0.7440868367561924
442,1.7726853707414831,False,0.7440868370352142
441,1.7686973947895792,False,0.744086837314236
440,1.7647094188376755,True,0.7440868375932579
439,1.7607214428857716,False,0.7440868378722798
438,1.756733466933868,True,0.7440868381513017
437,1.752745490981964,True,0.7440868384303237
436,1.7487575150300603,True,0.7440868387093457
435,1.7447695390781564,False,0.7440868389883676
434,1.7407815631262527,True,0.7440868392673896
433,1.7367935871743487,True,0.7440868395464115
432,1.732805611222445,True,0.7440868398254336
431,1.728817635270541,False,0.7440868401044556
430,1.7248296593186374,False,0.7440868403834777
429,1.7208416833667335,False,0.7440868406624996
428,1.7168537074148298,False,0.7440868409415218
427,1.7128657314629259,True,0.7440868412205439
426,1.7088777555110222,False,0.744086841499566
425,1.7048897795591185,True,0.7440868417785881
424,1.7009018036072145,True,0.7440868420576102
423,1.6969138276553108,False,0.7440868423366325
422,1.692925851703407,False,0.7440868426156546
421,1.6889378757515032,False,0.7440868428946767
420,1.6849498997995993,True,0.7440868431736989
419,1.6809619238476956,False,0.7440868434527212
418,1.6769739478957917,False,0.7440868437317435
417,1.672985971943888,False,0.7440868440107657
416,1.668997995991984,True,0.7440868442897881
415,1.6650100200400804,False,0.7440868445688104
414,1.6610220440881764,False,0.7440868448478326
413,1.6570340681362727,True,0.744086845126855
412,1.6530460921843688,False,0.7440868454058773
411,1.6490581162324651,False,0.7440868456848996
407,1.6331062124248499,True,0.7440868458672966
410,1.6450701402805612,False,0.7440868459639219
406,1.629118236472946,True,0.7440868461463188
409,1.6410821643286575,False,0.7440868462429444
405,1.6251302605210423,False,0.7440868464253413
408,1.6370941883767536,True,0.7440868465219668
404,1.6211422845691383,False,0.7440868467043636
403,1.6171543086172346,False,0.7440868469833861
402,1.6131663326653307,False,0.7440868472624086
401,1.609178356713427,False,0.7440868475414312
400,1.605190380761523,True,0.7440868478204536
399,1.6012024048096194,True,0.7440868480994762
398,1.5972144288577155,True,0.7440868483784986
397,1.5932264529058118,True,0.7440868486575212
396,1.5892384769539079,True,0.7440868489365436
395,1.5852505010020042,False,0.7440868492155663
394,1.5812625250501002,False,0.7440868494945889
393,1.5772745490981965,False,0.7440868497736114
392,1.5732865731462926,False,0.7440868500526341
391,1.569298597194389,False,0.7440868503316567
390,1.565310621242485,False,0.7440868506106793
389,1.5613226452905813,False,0.7440868508897021
388,1.5573346693386774,True,0.7440868511687247
387,1.5533466933867737,True,0.7440868514477474
386,1.5493587174348697,True,0.7440868517267701
385,1.545370741482966,True,0.7440868520057928
384,1.5413827655310623,True,0.7440868522848156
383,1.5373947895791584,False,0.7440868525638383
382,1.5334068136272547,True,0.7440868528428611
381,1.5294188376753508,False,0.7440868531218839
380,1.525430861723447,False,0.7440868534009067
379,1.5214428857715432,True,0.7440868536799295
378,1.5174549098196395,False,0.7440868539589525
