"";"TIPO";"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_CGCE";"INDICE";"NO_CLASSIFICACAO";"NO_TIPO_CLASSIFICACAO";"NO_CGCE"
"23";"TERMOS_DE_TROCA";"PRECO";2023;4;"CO_CGCE_N1_1";132,038818122954;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"24";"TERMOS_DE_TROCA";"PRECO";2023;4;"CO_CGCE_N1_3";109,08720057914;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"25";"EXP";"PRECO";2023;3;"CO_CGCE_N1_2";179,877158858394;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"26";"EXP";"PRECO";2023;3;"CO_CGCE_N1_1";129,87400412518;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"27";"EXP";"PRECO";2023;3;"CO_CGCE_N1_3";149,850009588936;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"28";"EXP";"QUANTUM";2023;3;"CO_CGCE_N1_2";172,694350945102;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"29";"EXP";"QUANTUM";2023;3;"CO_CGCE_N1_1";94,3717906129237;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"30";"EXP";"QUANTUM";2023;3;"CO_CGCE_N1_3";98,830078671921;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"31";"EXP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_2";154,062590116139;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"32";"EXP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_1";95,4143679283492;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"33";"EXP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_3";96,9623730282595;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"34";"IMP";"PRECO";2023;3;"CO_CGCE_N1_2";150,517313358769;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"35";"IMP";"PRECO";2023;3;"CO_CGCE_N1_1";98,0462688541549;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"36";"IMP";"PRECO";2023;3;"CO_CGCE_N1_3";136,778786448195;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"37";"IMP";"PRECO";2023;3;"CO_CGCE_N1_4";141,054936432156;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"38";"IMP";"QUANTUM";2023;3;"CO_CGCE_N1_2";197,217221840262;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"39";"IMP";"QUANTUM";2023;3;"CO_CGCE_N1_1";271,472400411213;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"40";"IMP";"QUANTUM";2023;3;"CO_CGCE_N1_3";223,64264791195;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"41";"IMP";"QUANTUM";2023;3;"CO_CGCE_N1_4";163,564685378885;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"42";"IMP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_2";194,216758086584;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"43";"IMP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_1";262,630981080371;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"44";"IMP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_3";205,844005720447;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"45";"IMP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_4";162,753095282293;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"46";"TERMOS_DE_TROCA";"PRECO";2023;3;"CO_CGCE_N1_2";119,505959045152;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"47";"TERMOS_DE_TROCA";"PRECO";2023;3;"CO_CGCE_N1_1";132,461954588369;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
